d,k,n_variables,instance_type,method,n_instances,feasible_solution_count,no_incumbent_count,optimal_found_count,optimal_found_pct,beam_width,mean_absolute_gap,max_absolute_gap,mean_relative_error_pct,max_relative_error_pct,mean_time_s,std_time_s,mean_dynamic_programming_time_s
6,3,250,random,SCIP,50,50,0,0,0.0,,25460.30716420647,34142.954268072106,85.0813572404674,100.0,0.07198115442002745,0.010480860204262789,0.3874340581893921
6,3,250,random,Tabu search,50,50,0,0,0.0,,586.0021898674873,1702.2614056471175,1.9800985504126285,5.817272557492702,0.0687063981402025,0.010289139155336188,0.3874340581893921
6,3,500,random,Heuristic,50,50,0,0,0.0,21,2968.3244767098363,4370.144173200439,4.966354287427234,7.647165669094956,0.13528100967407228,0.00405574192808162,0.7722663640975952
6,3,500,random,Matrix method,50,50,0,11,22.0,,1.183064060878096,6.491820702802215,0.0019686826776258667,0.010777882496729453,0.12904767513275148,0.005542365463638312,0.7722663640975952
6,3,500,random,SCIP,50,50,0,0,0.0,,59687.68375350575,65991.92829835092,99.4315802491076,100.0,0.13564765607989102,0.00531357293730902,0.7722663640975952
6,3,500,random,Tabu search,50,50,0,0,0.0,,2135.141470290032,3742.992693912769,3.570384891852349,5.972492572938877,0.13032504514012544,0.00580441667126075,0.7722663640975952
6,4,250,random,Heuristic,50,50,0,0,0.0,80,1152.7104642291538,2372.4091364205888,3.4762286546883523,7.258769684536269,0.26217941284179686,0.00739876374981455,2.484879217147827
6,4,250,random,Matrix method,50,50,0,22,44.0,,0.9128504950468778,7.120200034943991,0.0027873624464802953,0.021905348569407495,0.24159409046173097,0.013749173376578277,2.484879217147827
6,4,250,random,SCIP,50,50,0,0,0.0,,22124.322633788866,38432.75576738241,66.06372035926557,100.0,0.24834885242009477,0.013653087692466565,2.484879217147827
6,4,250,random,Tabu search,50,50,0,0,0.0,,420.9191780565602,1555.8806156598584,1.2861131189864694,4.677902494037452,0.2421757924200938,0.013757593560665167,2.484879217147827
6,4,500,random,Heuristic,50,50,0,0,0.0,60,2949.4826294424643,4479.899993704268,4.482411964374511,6.797564971163586,0.4430577039718628,0.03929623943376727,4.950274858474732
6,4,500,random,Matrix method,50,50,0,7,14.0,,1.6938949833884545,8.627930688169727,0.0026199960013970204,0.013520076879607677,0.3777504110336304,0.028475774844086647,4.950274858474732
6,4,500,random,SCIP,50,50,0,0,0.0,,45698.09820756896,75612.01637657367,68.68056183211034,100.0,0.39247005025987164,0.028267614978086848,4.950274858474732
6,4,500,random,Tabu search,50,50,0,0,0.0,,1022.4142432248022,2588.253014717535,1.5628246788364522,3.8350078002421717,0.3789287415997751,0.028525072140756284,4.950274858474732
