n,dits,k,instance_index,seed,matrix_cost,matrix_time,tau,target_reached,time_to_target,final_cost,target_difference,time_ratio,ratio_lower_bound,status,nodes,best_bound,gap
500,2,4,17,17,-2675.97542015281,0.08240985870361328,1728.5832349065518,True,1.7337863280000079,-2675.97542015281,0.0,21.03857906413313,,optimal,1,-2675.975420152808,0.0
500,2,4,18,18,-2788.877751102482,0.08346700668334961,1728.5832349065518,True,1.2894912190000127,-2788.877751102482,0.0,15.449113011707492,,optimal,1,-2788.8777511024828,0.0
500,2,4,19,19,-2791.2752363888703,0.08406782150268555,1728.5832349065518,True,1.5876883370000314,-2791.2752363888703,0.0,18.885803255283744,,optimal,1,-2791.2752363888612,0.0
500,2,4,20,20,-3016.3010536637707,0.08245491981506348,1728.5832349065518,True,1.4327943600000026,-3016.3010536637707,0.0,17.376699452423082,,optimal,1,-3016.301053663781,0.0
500,2,4,21,21,-2520.159099331442,0.08097362518310547,1728.5832349065518,True,1.6380694510000353,-2520.159099331442,0.0,20.229666725379687,,optimal,1,-2520.1590993314467,0.0
500,2,4,22,22,-2757.4920929712193,0.08282852172851562,1728.5832349065518,True,1.731309361000001,-2757.5532676583816,-0.061174687162292685,20.902333216505514,,optimal,1,-2757.553267658386,0.0
500,2,4,23,23,-2938.8321753775735,0.08144354820251465,1728.5832349065518,True,1.3255731000000424,-2938.8321753775735,0.0,16.275974331372684,,optimal,1,-2938.8321753775745,0.0
500,2,4,24,24,-2515.4984546437363,0.07544255256652832,1728.5832349065518,True,1.1805349069999806,-2515.4984546437363,0.0,15.648130489208153,,optimal,1,-2515.4984546437286,0.0
500,2,4,25,25,-2901.014992260451,0.08069849014282227,1728.5832349065518,True,1.2212773109999944,-2901.014992260451,0.0,15.133830990375984,,optimal,1,-2901.0149922604523,0.0
500,2,4,26,26,-2793.6273191861837,0.07818126678466797,1728.5832349065518,True,1.3503150739999796,-2793.6273191861837,0.0,17.271593689049666,,optimal,1,-2793.627319186185,0.0
500,2,4,27,27,-2650.0632847550296,0.0865778923034668,1728.5832349065518,True,1.671769755000014,-2650.0632847550296,0.0,19.309430046416967,,optimal,1,-2650.0632847550323,0.0
500,2,4,28,28,-2950.897959896494,0.08295559883117676,1728.5832349065518,True,2.0526178570000297,-2950.897959896494,0.0,24.743572295551985,,optimal,1,-2950.8979598964975,0.0
500,2,4,29,29,-2720.239444304081,0.08559489250183105,1728.5832349065518,True,1.6012977640000372,-2720.239444304081,0.0,18.70786582231857,,optimal,1,-2720.2394443040844,0.0
